trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
180,8734,52,0,<DATE> @ 15:55:34.877,POWELL,FALSE,8714,32,0,POINT (-122.477271 45.535282),46346,863,FALSE,8580,33,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:51:36.049,13898121,bus,3922
164,8735,-46,0,<DATE> @ 15:56:14.135,POWELL,FALSE,8194,1,,POINT (-122.563278 45.5305),46288,863,FALSE,10864,2,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:52:15.507,13898122,bus,3746
180,8734,24,0,<DATE> @ 15:56:15.127,POWELL,FALSE,8580,33,0,POINT (-122.477271 45.534566),46359,863,FALSE,6923,34,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:52:18.344,13898121,bus,3922
180,8734,103,0,<DATE> @ 15:57:14.436,POWELL,FALSE,13598,35,0,POINT (-122.47706 45.527152),46497,863,FALSE,6920,36,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:53:15.351,13898121,bus,3922
82,8735,-64,0,<DATE> @ 15:57:27.548,POWELL,FALSE,10864,2,,POINT (-122.561844 45.529486),46343,863,FALSE,4287,3,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:53:30.078,13898122,bus,3746
180,8734,113,0,<DATE> @ 15:58:14.816,POWELL,FALSE,6912,37,0,POINT (-122.477107 45.523445),46567,863,FALSE,9061,38,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:54:18.087,13898121,bus,3922
0,8735,-51,0,<DATE> @ 15:58:27.851,POWELL,FALSE,4287,3,,POINT (-122.558095 45.530985),46416,863,FALSE,6522,4,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:54:30.011,13898122,bus,3746
171,8734,131,0,<DATE> @ 15:59:35.251,POWELL,FALSE,9061,38,0,POINT (-122.476977 45.518031),46666,863,FALSE,11073,39,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:55:36.212,13898121,bus,3922
0,8735,-103,0,<DATE> @ 15:59:36.251,POWELL,FALSE,6522,4,,POINT (-122.558084 45.531934),46433,863,FALSE,6531,5,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:55:38.985,13898122,bus,3746
179,8734,226,0,<DATE> @ 16:00:34.562,POWELL,FALSE,6938,41,0,POINT (-122.475695 45.51007),46820,863,FALSE,6943,42,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:56:35.973,13898121,bus,3922
0,8735,-136,0,<DATE> @ 16:00:35.578,POWELL,FALSE,6522,4,,POINT (-122.558064 45.533383),46459,863,FALSE,6531,5,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:56:39.200,13898122,bus,3746
179,8734,246,0,<DATE> @ 16:01:30.944,POWELL,FALSE,6937,43,0,POINT (-122.475641 45.505965),46896,863,FALSE,6935,44,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:57:32.976,13898121,bus,3922
0,8735,-111,0,<DATE> @ 16:01:34.980,POWELL,FALSE,6530,6,,POINT (-122.557997 45.538083),46543,863,FALSE,6508,7,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:57:36.159,13898122,bus,3746
0,8735,-49,0,<DATE> @ 16:02:35.383,POWELL,FALSE,14075,8,,POINT (-122.557832 45.545002),46666,863,FALSE,6514,9,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:58:36.303,13898122,bus,3746
179,8734,216,0,<DATE> @ 16:02:33.398,POWELL,FALSE,6937,43,0,POINT (-122.475622 45.504133),46929,863,FALSE,6935,44,FALSE,084C8D,87,Bus,<DATE> @ 03:00:00.000,87 To 182nd & Powell,87  Airport Way/181st to 182nd & Powell,vm,<DATE> @ 15:58:36.391,13898121,bus,3922
