trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
353,3403,-2,0,<DATE> @ 07:34:26.976,CENTER,FALSE,13248,1,0,POINT (-122.569079 45.435794),16224,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:30:29.722,13888153,bus,4058
271,3403,31,0,<DATE> @ 07:35:27.340,CENTER,FALSE,13248,1,0,POINT (-122.571383 45.437215),16318,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:31:29.914,13888153,bus,4058
271,3403,33,0,<DATE> @ 07:36:26.761,CENTER,FALSE,13248,1,0,POINT (-122.573889 45.43741),16379,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:32:29.528,13888153,bus,4058
270,3403,-22,0,<DATE> @ 07:37:22.143,CENTER,FALSE,13248,1,0,POINT (-122.574067 45.437412),16380,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:33:23.679,13888153,bus,4058
270,3403,-33,0,<DATE> @ 07:38:21.440,CENTER,FALSE,12922,2,0,POINT (-122.576919 45.43828),16428,385,FALSE,13873,3,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:34:23.780,13888153,bus,4058
269,3403,-57,0,<DATE> @ 07:39:21.828,CENTER,FALSE,12922,2,0,POINT (-122.580198 45.43827),16464,385,FALSE,13873,3,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:35:24.125,13888153,bus,4058
204,3403,-67,0,<DATE> @ 07:40:22.177,CENTER,FALSE,13874,4,0,POINT (-122.584096 45.43761),16515,385,FALSE,1936,5,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:36:23.355,13888153,bus,4058
180,3403,-51,0,<DATE> @ 07:41:21.617,CENTER,FALSE,1940,6,0,POINT (-122.587104 45.433284),16590,385,FALSE,13983,7,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:37:23.594,13888153,bus,4058
262,3403,-39,0,<DATE> @ 07:42:21.040,CENTER,FALSE,13983,7,0,POINT (-122.59261 45.432165),16662,385,FALSE,13984,8,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:38:23.505,13888153,bus,4058
264,3403,-71,0,<DATE> @ 07:43:33.373,CENTER,FALSE,13983,7,0,POINT (-122.596472 45.431887),16702,385,FALSE,13984,8,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:39:35.649,13888153,bus,4058
0,3403,-52,0,<DATE> @ 07:44:30.730,CENTER,FALSE,13984,8,0,POINT (-122.599349 45.435328),16778,385,FALSE,14183,9,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:40:32.476,13888153,bus,4058
1,3403,-18,0,<DATE> @ 07:45:33.267,CENTER,FALSE,3430,10,0,POINT (-122.599243 45.441582),16875,385,FALSE,14184,11,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:41:35.836,13888153,bus,4058
1,3403,7,0,<DATE> @ 07:46:33.567,CENTER,FALSE,3434,12,0,POINT (-122.598971 45.447151),16960,385,FALSE,13783,13,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:42:35.644,13888153,bus,4058
359,3403,-14,0,<DATE> @ 07:47:14.856,CENTER,FALSE,3434,12,0,POINT (-122.59897 45.448484),16980,385,FALSE,13783,13,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:43:17.702,13888153,bus,4058
359,3403,0,0,<DATE> @ 07:48:15.149,CENTER,FALSE,14568,14,0,POINT (-122.598992 45.453986),17055,385,FALSE,13787,15,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:44:17.614,13888153,bus,4058
293,3403,-4,0,<DATE> @ 07:49:15.483,CENTER,FALSE,14568,14,0,POINT (-122.601791 45.456983),17111,385,FALSE,13787,15,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:45:17.461,13888153,bus,4058
294,3403,-11,0,<DATE> @ 07:49:57.776,CENTER,FALSE,13789,16,0,POINT (-122.605066 45.458047),17146,385,FALSE,13805,17,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:46:02.927,13888153,bus,4058
296,3403,15,0,<DATE> @ 07:51:28.261,CENTER,FALSE,13805,17,0,POINT (-122.616389 45.46201),17263,385,FALSE,3080,18,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:47:29.700,13888153,bus,4058
202,3403,-37,0,<DATE> @ 07:52:28.601,CENTER,FALSE,13805,17,0,POINT (-122.616792 45.461829),17271,385,FALSE,3080,18,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:48:29.971,13888153,bus,4058
291,3403,-50,0,<DATE> @ 07:53:20.826,CENTER,FALSE,3078,19,0,POINT (-122.619132 45.459974),17310,385,FALSE,3076,20,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:49:23.807,13888153,bus,4058
309,3403,-41,0,<DATE> @ 07:54:21.203,CENTER,FALSE,3076,20,0,POINT (-122.625815 45.461933),17380,385,FALSE,3082,21,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:50:23.823,13888153,bus,4058
275,3403,-39,0,<DATE> @ 07:55:21.459,CENTER,FALSE,3081,22,0,POINT (-122.631823 45.463236),17442,385,FALSE,13770,23,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:51:23.948,13888153,bus,4058
172,3403,-38,0,<DATE> @ 07:56:19.835,CENTER,FALSE,3081,22,0,POINT (-122.637442 45.464158),17501,385,FALSE,13770,23,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:52:20.504,13888153,bus,4058
162,3403,-81,0,<DATE> @ 07:57:21.205,CENTER,FALSE,3081,22,0,POINT (-122.637146 45.462822),17520,385,FALSE,13770,23,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:53:23.708,13888153,bus,4058
270,3403,-108,0,<DATE> @ 07:58:20.682,CENTER,FALSE,13770,23,0,POINT (-122.63745 45.461558),17552,385,FALSE,3854,24,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:54:23.943,13888153,bus,4058
191,3403,-11,0,<DATE> @ 07:58:49.726,CENTER,FALSE,13770,23,0,POINT (-122.638867 45.462366),17678,385,FALSE,3854,24,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:54:50.957,13888153,bus,4058
154,3403,-145,0,<DATE> @ 08:00:24.390,CENTER,FALSE,13770,23,0,POINT (-122.639569 45.463993),17639,385,FALSE,3854,24,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:56:26.550,13888153,bus,4058
201,3403,-86,0,<DATE> @ 08:01:23.814,CENTER,FALSE,3854,24,0,POINT (-122.640173 45.458429),17757,385,FALSE,3846,25,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:57:26.947,13888153,bus,4058
89,3403,-101,0,<DATE> @ 08:02:14.146,CENTER,FALSE,3846,25,0,POINT (-122.640514 45.458697),17793,385,FALSE,12842,26,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:58:14.881,13888153,bus,4058
229,3403,-99,0,<DATE> @ 08:03:13.480,CENTER,FALSE,3846,25,0,POINT (-122.638568 45.457171),17854,385,FALSE,12842,26,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 07:59:14.511,13888153,bus,4058
173,3403,-69,0,<DATE> @ 08:04:13.818,CENTER,FALSE,12842,26,0,POINT (-122.640552 45.453116),17944,385,FALSE,3661,27,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:00:15.216,13888153,bus,4058
182,3403,-31,0,<DATE> @ 08:05:15.114,CENTER,FALSE,12463,28,0,POINT (-122.642032 45.448033),18044,385,FALSE,3668,29,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:01:17.610,13888153,bus,4058
81,3403,-19,0,<DATE> @ 08:06:14.427,CENTER,FALSE,3668,29,0,POINT (-122.640895 45.444848),18115,385,FALSE,8225,30,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:02:21.079,13888153,bus,4058
174,3401,0,0,<DATE> @ 08:33:32.190,CENTER,FALSE,,,0,POINT (-122.568589 45.435678),19772,385,FALSE,13248,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:29:32.974,13888154,bus,3574
353,3401,5,0,<DATE> @ 08:34:15.471,CENTER,FALSE,13248,1,0,POINT (-122.569063 45.435697),19820,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:30:21.141,13888154,bus,3574
272,3401,36,0,<DATE> @ 08:35:16.871,CENTER,FALSE,13248,1,0,POINT (-122.571133 45.43721),19912,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:31:18.258,13888154,bus,3574
270,3401,24,0,<DATE> @ 08:36:35.451,CENTER,FALSE,13248,1,0,POINT (-122.574102 45.437412),19979,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:32:35.878,13888154,bus,3574
269,3401,16,0,<DATE> @ 08:37:36.925,CENTER,FALSE,12922,2,0,POINT (-122.577353 45.43828),20032,385,FALSE,13873,3,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:33:38.944,13888154,bus,3574
270,3401,15,0,<DATE> @ 08:38:37.379,CENTER,FALSE,13873,3,0,POINT (-122.582861 45.438386),20092,385,FALSE,13874,4,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:34:39.047,13888154,bus,3574
211,3401,26,0,<DATE> @ 08:39:36.705,CENTER,FALSE,1936,5,0,POINT (-122.586339 45.434916),20162,385,FALSE,1940,6,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:35:39.170,13888154,bus,3574
254,3401,22,0,<DATE> @ 08:40:36.110,CENTER,FALSE,13983,7,0,POINT (-122.58877 45.432365),20218,385,FALSE,13984,8,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:36:39.346,13888154,bus,3574
265,3401,46,0,<DATE> @ 08:41:35.539,CENTER,FALSE,13983,7,0,POINT (-122.596289 45.431899),20301,385,FALSE,13984,8,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:37:35.923,13888154,bus,3574
357,3401,34,0,<DATE> @ 08:42:18.874,CENTER,FALSE,13984,8,0,POINT (-122.598378 45.432449),20332,385,FALSE,14183,9,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:38:21.115,13888154,bus,3574
0,3401,39,0,<DATE> @ 08:43:19.365,CENTER,FALSE,14183,9,0,POINT (-122.599335 45.436619),20398,385,FALSE,3430,10,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:39:21.544,13888154,bus,3574
1,3401,59,0,<DATE> @ 08:44:19.681,CENTER,FALSE,3430,10,0,POINT (-122.599236 45.44182),20478,385,FALSE,14184,11,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:40:21.209,13888154,bus,3574
359,3401,87,0,<DATE> @ 08:45:19.254,CENTER,FALSE,3434,12,0,POINT (-122.598964 45.447501),20566,385,FALSE,13783,13,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:41:21.286,13888154,bus,3574
0,3401,40,0,<DATE> @ 08:46:19.638,CENTER,FALSE,3434,12,0,POINT (-122.59897 45.448407),20579,385,FALSE,13783,13,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:42:21.389,13888154,bus,3574
359,3401,48,0,<DATE> @ 08:47:21.066,CENTER,FALSE,14568,14,0,POINT (-122.598991 45.453652),20649,385,FALSE,13787,15,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:43:24.516,13888154,bus,3574
293,3401,31,0,<DATE> @ 08:48:19.472,CENTER,FALSE,14568,14,0,POINT (-122.599806 45.456359),20690,385,FALSE,13787,15,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:44:21.255,13888154,bus,3574
294,3401,76,0,<DATE> @ 08:49:19.861,CENTER,FALSE,13789,16,0,POINT (-122.610036 45.459622),20795,385,FALSE,13805,17,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:45:21.204,13888154,bus,3574
310,3401,75,0,<DATE> @ 08:50:21.355,CENTER,FALSE,13805,17,0,POINT (-122.615776 45.461743),20856,385,FALSE,3080,18,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:46:27.328,13888154,bus,3574
296,3401,24,0,<DATE> @ 08:51:19.726,CENTER,FALSE,13805,17,0,POINT (-122.6164 45.462014),20863,385,FALSE,3080,18,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:47:21.195,13888154,bus,3574
297,3401,14,0,<DATE> @ 08:52:19.265,CENTER,FALSE,3078,19,0,POINT (-122.619515 45.460099),20913,385,FALSE,3076,20,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:48:21.268,13888154,bus,3574
309,3401,21,0,<DATE> @ 08:53:20.692,CENTER,FALSE,3076,20,0,POINT (-122.625989 45.462034),20981,385,FALSE,3082,21,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:49:21.225,13888154,bus,3574
299,3401,42,0,<DATE> @ 08:54:19.087,CENTER,FALSE,3081,22,0,POINT (-122.633878 45.463585),21061,385,FALSE,13770,23,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:50:21.275,13888154,bus,3574
173,3401,29,0,<DATE> @ 08:55:20.313,CENTER,FALSE,3081,22,0,POINT (-122.63732 45.463505),21109,385,FALSE,13770,23,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:51:21.322,13888154,bus,3574
270,3401,11,0,<DATE> @ 08:56:20.670,CENTER,FALSE,13770,23,0,POINT (-122.637469 45.461558),21151,385,FALSE,3854,24,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:52:21.380,13888154,bus,3574
270,3401,10,0,<DATE> @ 08:57:21.001,CENTER,FALSE,13770,23,0,POINT (-122.637785 45.46429),21211,385,FALSE,3854,24,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:53:24.388,13888154,bus,3574
192,3401,56,0,<DATE> @ 08:58:22.282,CENTER,FALSE,3854,24,0,POINT (-122.639462 45.460281),21318,385,FALSE,3846,25,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:54:27.337,13888154,bus,3574
89,3401,82,0,<DATE> @ 08:59:13.642,CENTER,FALSE,3846,25,0,POINT (-122.640265 45.458699),21395,385,FALSE,12842,26,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:55:15.382,13888154,bus,3574
89,3401,38,0,<DATE> @ 09:00:13.978,CENTER,FALSE,3846,25,0,POINT (-122.639035 45.458729),21411,385,FALSE,12842,26,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:56:15.314,13888154,bus,3574
189,3401,67,0,<DATE> @ 09:01:14.206,CENTER,FALSE,12842,26,0,POINT (-122.640122 45.455326),21501,385,FALSE,3661,27,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:57:15.144,13888154,bus,3574
190,3401,92,0,<DATE> @ 09:02:14.556,CENTER,FALSE,3661,27,0,POINT (-122.641227 45.450981),21586,385,FALSE,12463,28,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:58:15.254,13888154,bus,3574
170,3401,123,0,<DATE> @ 09:03:13.001,CENTER,FALSE,12463,28,0,POINT (-122.641851 45.446341),21676,385,FALSE,3668,29,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 08:59:15.148,13888154,bus,3574
170,3401,71,0,<DATE> @ 09:04:14.381,CENTER,FALSE,3668,29,0,POINT (-122.641743 45.445886),21685,385,FALSE,8225,30,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:00:15.348,13888154,bus,3574
81,3401,45,0,<DATE> @ 09:05:14.788,CENTER,FALSE,3668,29,0,POINT (-122.640574 45.444883),21719,385,FALSE,8225,30,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:01:18.386,13888154,bus,3574
174,3402,-34,0,<DATE> @ 09:31:34.977,CENTER,FALSE,,,0,POINT (-122.568585 45.43565),23220,385,FALSE,13248,1,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:27:36.503,13888155,bus,4032
271,3402,-4,0,<DATE> @ 09:32:22.257,CENTER,FALSE,13248,1,0,POINT (-122.569652 45.437179),23298,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:28:27.775,13888155,bus,4032
271,3402,38,0,<DATE> @ 09:33:21.576,CENTER,FALSE,13248,1,0,POINT (-122.573931 45.43741),23399,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:29:27.900,13888155,bus,4032
271,3402,-18,0,<DATE> @ 09:34:18.875,CENTER,FALSE,13248,1,0,POINT (-122.573931 45.43741),23400,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:30:21.434,13888155,bus,4032
271,3402,-79,0,<DATE> @ 09:35:19.242,CENTER,FALSE,13248,1,0,POINT (-122.573931 45.43741),23400,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:31:21.737,13888155,bus,4032
271,3402,-139,0,<DATE> @ 09:36:19.557,CENTER,FALSE,13248,1,0,POINT (-122.573931 45.43741),23400,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:32:21.602,13888155,bus,4032
270,3402,-196,0,<DATE> @ 09:37:16.956,CENTER,FALSE,13248,1,0,POINT (-122.574084 45.437412),23400,385,FALSE,12922,2,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:33:18.806,13888155,bus,4032
269,3402,-194,0,<DATE> @ 09:38:17.258,CENTER,FALSE,12922,2,0,POINT (-122.577703 45.438279),23463,385,FALSE,13873,3,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:34:18.680,13888155,bus,4032
270,3402,-186,0,<DATE> @ 09:39:16.708,CENTER,FALSE,13873,3,0,POINT (-122.583353 45.438391),23530,385,FALSE,13874,4,FALSE,084C8D,34,Bus,<DATE> @ 03:00:00.000,34 Linwood/River Rd,34 Linwood/River Rd to Clack Heights Via Milwaukie Via Oregon City TC,vm,<DATE> @ 09:35:18.681,13888155,bus,4032
